BinPhase.day BinRV eBinRV
0 7.95291243939607 1.12
86.8677699998952 0.7692750291724 1.2
512.720830000006 1.6278931474833 1.26
146.926946959213 -3.53465494293634 1.31
157.944646959414 -7.46023773880228 1.39
514.996856959292 -3.04657399619483 1.27
558.889926959515 -0.558573324331295 1.84
563.901426959538 -4.70514477090667 1.5
223.090173918729 0.165832158816855 1.38
239.018463918915 1.15848258976792 1.18
554.179423918923 -0.216634595514153 1.29
561.122963918814 0.740195132556137 1.35
613.913273918884 0.538825905378705 1.34
615.03472391886 -3.66884977714785 1.38
24.9647508782432 7.81844462694125 1.25
233.259500878128 0.648207603295705 1.24
258.281560878 5.48787843417787 1.24
318.134420877984 -0.576408240340712 1.15
324.022280878118 1.57080353067554 1.37
318.313117837484 1.33766190248921 1.04
322.35372783751 -2.48413695490494 1.13
345.278537837274 -1.00333880523077 1.31
381.234937837298 0.24112476128584 0.835767664337522
468.014527837464 1.99210318710689 0.855248629642053
25.4245047968352 -2.06061243482718 0.784317179831496
74.3735147967786 -0.173745781434258 0.883120057638341
85.3106347966791 2.13727848194316 1.24
